Region,Condition,Rooms,Rent,Year_Construction,Space
Hebbal,first_time_use,4,2659,2019,117.2
Yalahanka,first_time_use,1,1200,2020,29.33
Bannerghatta,well_kept,2,979,1997,83.61
WillsonGarden,well_kept,4,1830.22,1900,171.18
Yalahanka,first_time_use,2,2272,2020,88.27
Bannerghatta,well_kept,2,840,1997,73.51
Hebbal,mint_condition,2,1509.45,2015,61.61
Basavangudi,well_kept,2,730.73,1900,72.61
Banashankari,well_kept,2,561.93,1971,62.4
Marathhalli,first_time_use,3,1789,2020,77.66
Hebbal,first_time_use,4,2499,2019,125.2
Yalahanka,first_time_use,2,2328,2020,90.36
Hebbal,first_time_use,3,2500,2019,81.1
Yalahanka,mint_condition,2,6450,2016,186
Marathhalli,first_time_use,2,1399.65,2019,66.65
Hebbal,well_kept,2,1505.6,2018,75.28
Banashankari,first_time_use,3.5,1429.1,2020,82.05
Bannerghatta,mint_condition,1,930,2018,29.12
Banashankari,first_time_use,2,868.06,2020,49.19
Hebbal,first_time_use,4,2179,2019,95.8
Hebbal,no_information,3,1829,2019,67
Bannerghatta,well_kept,3,1589,1994,105.47
BasaweshwarNagar,mint_condition,3,1831,2019,72.28
Marathhalli,no_information,1,1060,2020,32
BasaweshwarNagar,mint_condition,3,3103,1918,141.75
Marathhalli,no_information,2,1619,2020,60
Hebbal,mint_condition,1,715,2014,19
Bannerghatta,mint_condition,3,1237.83,2015,80.97
Basavangudi,first_time_use,3,2290,2019,96.81
Basavangudi,mint_condition,2,1810,2016,100.47
Marathhalli,first_time_use,3,2320,2019,101.38
Basavangudi,first_time_use,4,2230,2019,112.26
Marathhalli,fully_renovated,3,2155,1990,101.15
Hebbal,mint_condition,4,2660.9,2017,132.81
Hebbal,mint_condition,2,1427.82,2017,73.97
WillsonGarden,first_time_use,4,3170,2019,139.07
Marathhalli,first_time_use,1,999,2019,28
Basavangudi,well_kept,2,849.24,1969,84
ElectronicCity,no_information,2.5,658.11,1930,60
Basavangudi,first_time_use,2,1340,2019,47.4
Marathhalli,fully_renovated,4,2433,1998,120.64
Marathhalli,fully_renovated,4,3275,1990,156.68
Marathhalli,no_information,1,311.04,1900,32
Hebbal,no_information,4,3677.7,2016,125.54
Hebbal,first_time_use,3,1740,2020,75.7
BTM,first_time_use,2,1404.66,2019,68.52
ElectronicCity,mint_condition,1,772,2017,20.5
BTM,well_kept,2,479.87,1918,47.12
BTM,first_time_use,3,1853.33,2019,82.37
ElectronicCity,no_information,1,511.15,1900,49
ElectronicCity,mint_condition,1,845,2017,27.8
BasaweshwarNagar,first_time_use_after_refurbishment,2,2724.17,1918,135.68
BasaweshwarNagar,first_time_use,2,2251,2019,79.05
Basavangudi,fully_renovated,5,3195,1905,170
BasaweshwarNagar,first_time_use,3,2812,2019,100.7
Basavangudi,first_time_use,1,976,2019,37.69
Marathhalli,well_kept,3,2044.85,2015,114.99
ElectronicCity,first_time_use,1,959,2017,27.8
Marathhalli,well_kept,2,850,1902,55
Basavangudi,mint_condition,3,2071.9,2016,107.33
BasaweshwarNagar,first_time_use,4,4500,1918,225
Hebbal,mint_condition,4,5530,2016,201
Basavangudi,first_time_use,1,1049,2019,40.51
Hebbal,no_information,3,1629,2015,106
BasaweshwarNagar,mint_condition,2.5,1640,2014,80
Basavangudi,first_time_use,2,1498,2019,47.2
Hebbal,first_time_use,1,889,2018,27.71
Banashankari,first_time_use,4,1598,2016,118
Marathhalli,mint_condition,5,4945,2019,215
Hebbal,no_information,2,1500,1900,57
ElectronicCity,first_time_use_after_refurbishment,4,1949.26,1902,104.63
BTM,first_time_use,2,1265,1900,59
Marathhalli,mint_condition,2.5,2500,1910,125
Marathhalli,mint_condition,2,1565,2017,67.27
Hebbal,mint_condition,2,1550,2017,46
BasaweshwarNagar,fully_renovated,3,1424.75,1890,88.5
Yalahanka,first_time_use,5,4400,1867,236
Bannerghatta,first_time_use,3,1690,2019,99.4
Yalahanka,fully_renovated,2.5,3400,2015,106
ElectronicCity,first_time_use_after_refurbishment,2.5,1189.48,1902,61.44
